,t,E_init,E_PI,N_SP,E_ref,E_bc,E_tot,E_ref_newnorm
1.0,0.0,2.4451122283935547,0.0,0.0,0.013234750367701054,0.0,2.4451122283935547,0.01951955445110798
2.0,0.0020000000949949026,2.4451122283935547,0.03306842967867851,1.0,0.013298587873578072,0.0,2.4781806468963623,0.020586198195815086
3.0,0.004000000189989805,2.4451122283935547,0.06227459758520126,1.0,0.014236398041248322,0.0,2.5073869228363037,0.02232583798468113
4.0,0.006000000052154064,2.4451122283935547,0.08805433660745621,1.0,0.015890171751379967,0.0,2.5331666469573975,0.024588298052549362
5.0,0.00800000037997961,2.4451122283935547,0.11085352301597595,1.0,0.018059533089399338,0.0,2.5559656620025635,0.027235431596636772
6.0,0.009999999776482582,2.4451122283935547,0.1311524659395218,1.0,0.02057676948606968,0.0,2.5762646198272705,0.0301576666533947
7.0,0.012000000104308128,2.4451122283935547,0.14947110414505005,1.0,0.023323852568864822,0.0,2.59458327293396,0.03327396884560585
8.0,0.014000000432133675,2.4451122283935547,0.16640430688858032,1.0,0.02622268721461296,0.0,2.6115164756774902,0.03652598708868027
9.0,0.01600000075995922,2.4451122283935547,0.18264473974704742,1.0,0.029221970587968826,0.0,2.6277570724487305,0.039871782064437866
10.0,0.017999999225139618,2.4451122283935547,0.19897064566612244,1.0,0.03228738531470299,0.0,2.64408278465271,0.043280839920043945
11.0,0.019999999552965164,2.4451122283935547,0.2161523401737213,1.0,0.03539527580142021,0.0,2.661264657974243,0.04673057794570923
12.0,0.02199999988079071,2.4451122283935547,0.23476016521453857,1.0,0.03852878510951996,0.0,2.679872512817383,0.05020390450954437
13.0,0.024000000208616257,2.4451122283935547,0.25498732924461365,1.0,0.041675470769405365,0.0,2.700099468231201,0.05368758738040924
14.0,0.026000000536441803,2.4451122283935547,0.2766702175140381,1.0,0.044825829565525055,0.0,2.7217824459075928,0.05717114731669426
15.0,0.02800000086426735,2.4451122283935547,0.2994852364063263,1.0,0.04797235503792763,0.0,2.7445974349975586,0.06064607575535774
16.0,0.029999999329447746,2.4451122283935547,0.32307732105255127,1.0,0.05110893025994301,0.0,2.7681894302368164,0.06410533934831619
17.0,0.03200000151991844,2.4451122283935547,0.347143292427063,1.0,0.05423041805624962,0.0,2.792255401611328,0.06754299253225327
18.0,0.03400000184774399,2.4451122283935547,0.3714410960674286,1.0,0.05733244866132736,0.0,2.8165533542633057,0.07095389813184738
19.0,0.035999998450279236,2.4451122283935547,0.395790696144104,1.0,0.06041114032268524,0.0,2.840902805328369,0.0743335708975792
20.0,0.03799999877810478,2.4451122283935547,0.42006227374076843,1.0,0.06346302479505539,0.0,2.8651745319366455,0.07767801731824875
21.0,0.03999999910593033,2.4451122283935547,0.4441409707069397,1.0,0.06648494303226471,0.0,2.8892531394958496,0.08098363131284714
22.0,0.041999999433755875,2.4451122283935547,0.46796223521232605,1.0,0.0694739818572998,0.0,2.913074493408203,0.08424712717533112
23.0,0.04399999976158142,2.4451122283935547,0.49146851897239685,1.0,0.07242739945650101,0.0,2.9365806579589844,0.08746547251939774
24.0,0.04600000008940697,2.4451122283935547,0.5146275162696838,1.0,0.07534264773130417,0.0,2.9597396850585938,0.09063584357500076
25.0,0.04800000041723251,2.4451122283935547,0.5374189019203186,1.0,0.07821729779243469,0.0,2.9825310707092285,0.09375561773777008
26.0,0.05000000074505806,2.4451122283935547,0.5598496794700623,1.0,0.08104901015758514,0.0,3.0049619674682617,0.09682228416204453
27.0,0.052000001072883606,2.4451122283935547,0.5819444060325623,1.0,0.08383554965257645,0.0,3.0270566940307617,0.09983349591493607
28.0,0.05400000140070915,2.4451122283935547,0.6037571430206299,1.0,0.08657475560903549,0.0,3.0488693714141846,0.10278698056936264
29.0,0.0560000017285347,2.4451122283935547,0.6253772377967834,1.0,0.08926458656787872,0.0,3.0704894065856934,0.10568061470985413
30.0,0.057999998331069946,2.4451122283935547,0.6469048857688904,1.0,0.09190300852060318,0.0,3.09201717376709,0.10851232707500458
31.0,0.05999999865889549,2.4451122283935547,0.6684669852256775,1.0,0.09448807686567307,0.0,3.113579273223877,0.11128013581037521
32.0,0.06199999898672104,2.4451122283935547,0.6902062296867371,1.0,0.09701789170503616,0.0,3.1353185176849365,0.11398212611675262
33.0,0.06400000303983688,2.4451122283935547,0.7122602462768555,1.0,0.09949064254760742,0.0,3.15737247467041,0.11661645770072937
34.0,0.06599999964237213,2.4451122283935547,0.7348060011863708,1.0,0.10190460085868835,0.0,3.1799182891845703,0.11918140202760696
35.0,0.06800000369548798,2.4451122283935547,0.7579550743103027,1.0,0.1042579635977745,0.0,3.2030673027038574,0.12167517095804214
36.0,0.07000000029802322,2.4451122283935547,0.7818254232406616,1.0,0.10654912143945694,0.0,3.226937770843506,0.12409617006778717
37.0,0.07199999690055847,2.4451122283935547,0.806486964225769,1.0,0.10877644270658493,0.0,3.2515993118286133,0.1264427751302719
38.0,0.07400000095367432,2.4451122283935547,0.831966757774353,1.0,0.11093834787607193,0.0,3.2770791053771973,0.12871341407299042
39.0,0.07599999755620956,2.4451122283935547,0.8582528233528137,1.0,0.11303336918354034,0.0,3.3033649921417236,0.13090664148330688
40.0,0.07800000160932541,2.4451122283935547,0.8852832913398743,1.0,0.1150600016117096,0.0,3.330395460128784,0.13302098214626312
41.0,0.07999999821186066,2.4451122283935547,0.9129536151885986,1.0,0.11701693385839462,0.0,3.3580658435821533,0.13505509495735168
42.0,0.0820000022649765,2.4451122283935547,0.9411383271217346,1.0,0.11890269815921783,0.0,3.3862504959106445,0.13700757920742035
43.0,0.08399999886751175,2.4451122283935547,0.9696804285049438,1.0,0.12071608752012253,0.0,3.414792537689209,0.13887718319892883
44.0,0.0860000029206276,2.4451122283935547,0.998414933681488,1.0,0.12245581299066544,0.0,3.4435272216796875,0.14066265523433685
