,t,E_init,E_PI,N_SP,E_ref,E_bc,E_tot
1.0,0.0,0.1254200041294098,0.0,0.0,0.12367622554302216,0.0,0.1254200041294098
2.0,0.0020000000949949026,0.1254200041294098,0.0010885378578677773,1.0,0.12339215725660324,0.0,0.12650854885578156
3.0,0.004000000189989805,0.1254200041294098,0.0020827597472816706,1.0,0.12315582484006882,0.0,0.12750276923179626
4.0,0.006000000052154064,0.1254200041294098,0.0029900504741817713,1.0,0.12296414375305176,0.0,0.12841005623340607
5.0,0.00800000037997961,0.1254200041294098,0.003818207886070013,1.0,0.12281402945518494,0.0,0.12923821806907654
6.0,0.009999999776482582,0.1254200041294098,0.004575345199555159,1.0,0.12270251661539078,0.0,0.12999534606933594
7.0,0.012000000104308128,0.1254200041294098,0.005270723719149828,1.0,0.12262679636478424,0.0,0.13069072365760803
8.0,0.014000000432133675,0.1254200041294098,0.005914420820772648,1.0,0.12258407473564148,0.0,0.13133442401885986
9.0,0.01600000075995922,0.1254200041294098,0.006518079899251461,1.0,0.12257164716720581,0.0,0.13193808495998383
10.0,0.017999999225139618,0.1254200041294098,0.0070953345857560635,1.0,0.12258696556091309,0.0,0.1325153410434723
11.0,0.019999999552965164,0.1254200041294098,0.007662615273147821,1.0,0.12262750416994095,0.0,0.13308261334896088
12.0,0.02199999988079071,0.1254200041294098,0.008237937465310097,1.0,0.12269080430269241,0.0,0.13365794718265533
13.0,0.024000000208616257,0.1254200041294098,0.008843233808875084,1.0,0.12277457863092422,0.0,0.13426323235034943
14.0,0.026000000536441803,0.1254200041294098,0.009492706507444382,1.0,0.12287653982639313,0.0,0.13491271436214447
15.0,0.02800000086426735,0.1254200041294098,0.01019213441759348,1.0,0.12299451231956482,0.0,0.1356121450662613
16.0,0.029999999329447746,0.1254200041294098,0.01094131637364626,1.0,0.12312640994787216,0.0,0.13636131584644318
17.0,0.03200000151991844,0.1254200041294098,0.011738819070160389,1.0,0.12327016144990921,0.0,0.1371588259935379
18.0,0.03400000184774399,0.1254200041294098,0.01257898099720478,1.0,0.12342394888401031,0.0,0.13799898326396942
19.0,0.035999998450279236,0.1254200041294098,0.013457376509904861,1.0,0.12358587980270386,0.0,0.13887737691402435
20.0,0.03799999877810478,0.1254200041294098,0.014367284253239632,1.0,0.12375418841838837,0.0,0.13978728652000427
21.0,0.03999999910593033,0.1254200041294098,0.015303163789212704,1.0,0.12392722070217133,0.0,0.14072316884994507
22.0,0.041999999433755875,0.1254200041294098,0.016262846067547798,1.0,0.12410338222980499,0.0,0.14168284833431244
23.0,0.04399999976158142,0.1254200041294098,0.017241235822439194,1.0,0.12428116053342819,0.0,0.14266124367713928
24.0,0.04600000008940697,0.1254200041294098,0.018234888091683388,1.0,0.1244591698050499,0.0,0.14365489780902863
25.0,0.04800000041723251,0.1254200041294098,0.0192416924983263,1.0,0.12463612854480743,0.0,0.14466169476509094
26.0,0.05000000074505806,0.1254200041294098,0.020258627831935883,1.0,0.12481079250574112,0.0,0.14567863941192627
27.0,0.052000001072883606,0.1254200041294098,0.021283794194459915,1.0,0.12498202919960022,0.0,0.1467037945985794
28.0,0.05400000140070915,0.1254200041294098,0.02231348305940628,1.0,0.12514878809452057,0.0,0.14773347973823547
29.0,0.0560000017285347,0.1254200041294098,0.023346159607172012,1.0,0.12531015276908875,0.0,0.1487661600112915
30.0,0.057999998331069946,0.1254200041294098,0.02438122220337391,1.0,0.1254652887582779,0.0,0.14980122447013855
31.0,0.05999999865889549,0.1254200041294098,0.025413108989596367,1.0,0.12561342120170593,0.0,0.1508331149816513
32.0,0.06199999898672104,0.1254200041294098,0.02644416317343712,1.0,0.12575389444828033,0.0,0.1518641710281372
33.0,0.06400000303983688,0.1254200041294098,0.027470074594020844,1.0,0.12588615715503693,0.0,0.15289008617401123
34.0,0.06599999964237213,0.1254200041294098,0.028489423915743828,1.0,0.12600979208946228,0.0,0.15390942990779877
35.0,0.06800000369548798,0.1254200041294098,0.029501905664801598,1.0,0.12612435221672058,0.0,0.15492190420627594
36.0,0.07000000029802322,0.1254200041294098,0.030506594106554985,1.0,0.12622961401939392,0.0,0.15592660009860992
37.0,0.07199999690055847,0.1254200041294098,0.031500257551670074,1.0,0.12632538378238678,0.0,0.15692025423049927
38.0,0.07400000095367432,0.1254200041294098,0.032487690448760986,1.0,0.1264115422964096,0.0,0.15790769457817078
39.0,0.07599999755620956,0.1254200041294098,0.033459946513175964,1.0,0.12648813426494598,0.0,0.15887995064258575
40.0,0.07800000160932541,0.1254200041294098,0.03441948816180229,1.0,0.1265551894903183,0.0,0.15983949601650238
41.0,0.07999999821186066,0.1254200041294098,0.03537098690867424,1.0,0.12661294639110565,0.0,0.16079099476337433
42.0,0.0820000022649765,0.1254200041294098,0.03631439059972763,1.0,0.12666155397891998,0.0,0.16173440217971802
43.0,0.08399999886751175,0.1254200041294098,0.03723923861980438,1.0,0.12670141458511353,0.0,0.16265924274921417
44.0,0.0860000029206276,0.1254200041294098,0.03815605491399765,1.0,0.12673287093639374,0.0,0.16357606649398804
45.0,0.08799999952316284,0.1254200041294098,0.0390617772936821,1.0,0.1267564445734024,0.0,0.16448178887367249
46.0,0.09000000357627869,0.1254200041294098,0.039955995976924896,1.0,0.12677259743213654,0.0,0.16537600755691528
47.0,0.09200000017881393,0.1254200041294098,0.04083732143044472,1.0,0.12678197026252747,0.0,0.1662573218345642
48.0,0.09399999678134918,0.1254200041294098,0.04171058535575867,1.0,0.12678520381450653,0.0,0.16713058948516846
49.0,0.09600000083446503,0.1254200041294098,0.04257751628756523,1.0,0.12678292393684387,0.0,0.16799752414226532
